country,field,year,estimated_investment,complete
France,"Military, public safety and government",2020,2,True
Poland,"Military, public safety and government",2021,0,True
United Kingdom,"Military, public safety and government",2016,1,True
United Kingdom,"Military, public safety and government",2024,33,True
United Kingdom,"Military, public safety and government",2026,1,False
Malaysia,"Mobile, platforms & Internet services",2018,1,True
Cyprus,"Mobile, platforms & Internet services",2018,1,True
Saudi Arabia,"Mobile, platforms & Internet services",2021,1707,True
Denmark,"Mobile, platforms & Internet services",2024,5,True
Estonia,"Mobile, platforms & Internet services",2026,10,False
Finland,"Mobile, platforms & Internet services",2020,53,True
Israel,"Mobile, platforms & Internet services",2017,60,True
Israel,"Mobile, platforms & Internet services",2026,10,False
Malta,"Mobile, platforms & Internet services",2020,1,True
Italy,NLP,2021,32,True
Taiwan,NLP,2025,0,True
Brazil,NLP,2020,51,True
Netherlands,NLP,2017,0,True
India,NLP,2022,3,True
China (mainland),NLP,2018,172,True
Switzerland,Navigation and mapping,2020,1,True
Switzerland,Navigation and mapping,2021,1,True
Singapore,Navigation and mapping,2022,13,True
Australia,Navigation and mapping,2018,4,True
Luxembourg,Navigation and mapping,2018,1,True
China (mainland),Navigation and mapping,2016,2,True
Malaysia,Other,2019,3,True
Colombia,Other,2022,1,True
Colombia,Other,2023,0,True
Taiwan,Other,2018,18,True
Portugal,Other,2019,5,True
Mexico,Other,2023,12,True
Poland,Other,2025,64,True
China (mainland),Other,2022,332,True
China (mainland),Other,2024,332,True
India,Other,2023,99,True
Egypt,Other,2022,1,True
South Africa,Other,2019,2,True
Czechia,Other,2019,0,True
Ghana,Other,2022,0,True
Australia,Other,2020,44,True
Netherlands,Privacy and Security,2023,32,True
Singapore,Privacy and Security,2016,0,True
Spain,Privacy and Security,2024,151,True
China (mainland),Privacy and Security,2017,67,True
United States,Privacy and Security,2016,674,True
Slovenia,Privacy and Security,2016,0,True
South Korea,Privacy and Security,2022,19,True
India,Privacy and Security,2019,6,True
Turkey,Privacy and Security,2020,0,True
Turkey,Privacy and Security,2022,2,True
Australia,Professional services,2019,46,True
United Kingdom,Professional services,2022,521,True
Iceland,Professional services,2017,0,True
Hungary,Professional services,2021,0,True
Portugal,Professional services,2024,4,True
Argentina,Professional services,2023,346,True
Argentina,Professional services,2025,1,True
Bulgaria,Professional services,2025,32,True
France,Professional services,2026,59,False
Japan,Professional services,2026,37,False
Czechia,Real estate,2021,0,True
Australia,Real estate,2025,1,True
Chile,Real estate,2018,0,True
South Korea,Real estate,2019,2,True
South Korea,Real estate,2020,9,True
Netherlands,Real estate,2024,359,True
United Kingdom,Real estate,2022,49,True
Poland,Real estate,2019,1,True
United States,Real estate,2018,638,True
Taiwan,Robotics,2023,6,True
Chile,Robotics,2021,0,True
Lebanon,Robotics,2016,0,True
Netherlands,Robotics,2016,6,True
Thailand,Robotics,2021,1,True
Egypt,Robotics,2023,0,True
Kenya,"Sales, retail, commerce, marketing",2019,0,True
Slovakia,"Sales, retail, commerce, marketing",2022,23,True
Chile,"Sales, retail, commerce, marketing",2025,3,True
Switzerland,"Sales, retail, commerce, marketing",2023,13,True
Portugal,"Sales, retail, commerce, marketing",2021,7,True
Denmark,"Sales, retail, commerce, marketing",2016,6,True
Russia,"Sales, retail, commerce, marketing",2021,18,True
Italy,"Sales, retail, commerce, marketing",2017,3,True
France,Semiconductor,2021,102,True
United States,Semiconductor,2021,323,True
Japan,Semiconductor,2021,5,True
South Korea,Semiconductor,2022,9,True
United States,Simulation,2020,392,True
Austria,Simulation,2021,5,True
Ireland,Software,2024,397,True
Netherlands,Software,2021,787,True
Peru,Software,2017,0,True
Slovenia,Software,2023,20,True
Kenya,Software,2018,3,True
Japan,Software,2018,574,True
Taiwan,Software,2017,13,True
Malaysia,Software,2020,20,True
Nigeria,Software,2018,6,True
Qatar,Software,2020,0,True
Jordan,Software,2019,0,True
Bulgaria,Software,2019,3,True
India,Software,2019,644,True
Slovakia,Software,2025,12,True
Finland,Software,2020,742,True
Belarus,Software,2022,0,True
Uruguay,Software,2024,3,True
Canada,Speech Recognition,2021,27,True
United States,Sports,2020,819,True
Czechia,Telecommunications,2020,2,True
China (mainland),Telecommunications,2018,20,True
United Kingdom,Telecommunications,2020,1,True
France,Telecommunications,2024,2,True
Mexico,Telecommunications,2025,8,True
Chile,Transportation,2023,0,True
Sweden,Transportation,2023,3429,True
France,Transportation,2016,6,True
Hungary,Transportation,2016,1,True
Brazil,Transportation,2017,0,True
Tunisia,Transportation,2022,0,True
Japan,Transportation,2021,46,True
Japan,Transportation,2025,92,True
South Korea,Transportation,2023,672,True
Spain,Agriculture,2020,6,True
Malaysia,Agriculture,2021,2,True
Australia,Agriculture,2020,5,True
Norway,Agriculture,2018,0,True
France,Agriculture,2017,2,True
Kenya,Agriculture,2023,7,True
Germany,Agriculture,2016,3,True
Luxembourg,All,2021,284,True
China (mainland),All,2016,5002,True
Lebanon,All,2022,0,True
Greece,All,2025,108,True
Austria,All,2021,294,True
Egypt,All,2020,2,True
Finland,All,2024,1560,True
Cyprus,All,2023,2,True
Lithuania,All,2018,5,True
Iraq,All,2020,0,True
Mauritius,All,2022,60,True
Switzerland,All,2026,145,False
Bangladesh,All,2023,7,True
Japan,All,2017,867,True
Slovakia,All,2025,14,True
Turkey,All,2020,14,True
Indonesia,All,2016,2,True
France,Biotechnology,2017,2,True
France,Biotechnology,2019,10,True
Bahrain,Biotechnology,2024,0,True
Austria,Biotechnology,2022,1,True
Netherlands,Biotechnology,2016,6,True
Norway,Biotechnology,2025,1,True
Canada,Biotechnology,2023,82,True
Indonesia,Biotechnology,2024,24,True
China (mainland),Biotechnology,2019,62,True
China (mainland),Biotechnology,2021,207,True
South Korea,Community and Lifestyle,2019,6,True
Bangladesh,Community and Lifestyle,2023,0,True
Egypt,Community and Lifestyle,2022,1,True
Brazil,Community and Lifestyle,2017,1,True
Sweden,Community and Lifestyle,2022,14,True
Netherlands,Community and Lifestyle,2018,3,True
Mexico,Community and Lifestyle,2019,0,True
Russia,Community and Lifestyle,2020,3,True
United States,Community and Lifestyle,2017,398,True
Chile,Computer Vision,2024,0,True
France,Computer Vision,2020,94,True
Ukraine,Computer Vision,2019,0,True
South Korea,Computer Vision,2025,1,True
Cyprus,Computer Vision,2022,1,True
Greece,Computer Vision,2019,1,True
Portugal,Computer Vision,2017,0,True
Thailand,Computer Vision,2018,0,True
Switzerland,Consumer goods,2017,19,True
Chile,Consumer goods,2017,0,True
Sweden,Consumer goods,2024,0,True
France,Consumer goods,2019,109,True
Brazil,Consumer goods,2020,4,True
Brazil,Consumer goods,2024,0,True
Poland,Consumer goods,2022,1,True
Indonesia,Consumer goods,2020,2,True
Indonesia,Consumer goods,2021,0,True
Ukraine,Consumer goods,2024,0,True
Germany,Cyber Security,2017,0,True
China (mainland),Cyber Security,2019,7,True
United States,Cyber Security,2016,215,True
United States,Cyber Security,2024,5745,True
Belgium,Cyber Security,2025,1,True
South Africa,Data and analytics,2022,169,True
Armenia,Data and analytics,2021,1,True
Philippines,Data and analytics,2023,8,True
Pakistan,Data and analytics,2017,0,True
Pakistan,Data and analytics,2022,4,True
Dominican Republic,Data and analytics,2022,0,True
Australia,Data and analytics,2024,1507,True
Iceland,Data and analytics,2025,6,True
Saudi Arabia,Data and analytics,2017,16,True
Spain,Data and analytics,2023,460,True
Spain,Data and analytics,2024,509,True
Croatia,Data and analytics,2025,2,True
Sweden,Data and analytics,2019,54,True
Kenya,Data and analytics,2018,3,True
Argentina,Data and analytics,2017,4,True
Romania,Data and analytics,2017,0,True
Finland,Education,2020,0,True
South Korea,Education,2020,46,True
France,Education,2020,24,True
France,Education,2022,168,True
Brazil,Education,2020,2,True
United Kingdom,Education,2026,106,False
Pakistan,Education,2018,0,True
Israel,Education,2021,12,True
Canada,Education,2020,12,True
Canada,Education,2023,34,True
Belgium,Energy and natural resources,2018,22,True
Poland,Energy and natural resources,2017,4,True
Iceland,Energy and natural resources,2023,0,True
Saudi Arabia,Energy and natural resources,2019,0,True
Hungary,Energy and natural resources,2018,0,True
Hungary,Energy and natural resources,2020,0,True
Argentina,Finance,2022,0,True
Israel,Finance,2026,2010,False
Belgium,Finance,2017,25,True
Slovakia,Finance,2021,1,True
Mexico,Finance,2022,32,True
Germany,Finance,2022,215,True
Netherlands,Finance,2023,193,True
Sri Lanka,Finance,2024,0,True
United Kingdom,Finance,2024,631,True
Thailand,Finance,2018,1,True
Thailand,Finance,2019,0,True
Canada,Finance,2019,49,True
Switzerland,Finance,2024,287,True
Singapore,Gaming,2022,27,True
New Zealand,Gaming,2023,13,True
Cyprus,Gaming,2018,1,True
Australia,Gaming,2019,1,True
United Kingdom,Gaming,2019,6,True
Switzerland,Gaming,2025,1,True
Germany,Gaming,2024,1,True
Vietnam,Gaming,2025,0,True
India,Gaming,2024,8,True
Spain,Gaming,2026,0,False
Iceland,General purpose,2016,1,True
Madagascar,General purpose,2019,6,True
Saudi Arabia,General purpose,2026,1231,False
China (mainland),General purpose,2018,3681,True
Netherlands,General purpose,2025,510,True
Canada,General purpose,2020,1053,True
New Zealand,General purpose,2018,92,True
Taiwan,General purpose,2024,121,True
United Kingdom,General purpose,2016,1544,True
Uruguay,General purpose,2023,1,True
Peru,General purpose,2018,0,True
Singapore,General purpose,2020,664,True
Singapore,General purpose,2026,10485,False
Algeria,General purpose,2022,0,True
Ukraine,General purpose,2023,5,True
France,General purpose,2026,473,False
Denmark,Hardware,2017,1,True
Denmark,Hardware,2022,146,True
Taiwan,Hardware,2018,19,True
Mexico,Hardware,2017,1,True
Saudi Arabia,Hardware,2019,3,True
Chile,Hardware,2024,2,True
Cyprus,Hardware,2024,3,True
Turkey,Hardware,2018,1,True
Turkey,Hardware,2023,10,True
Lithuania,Hardware,2025,0,True
Slovakia,Hardware,2018,1,True
Slovakia,Hardware,2021,4,True
Vietnam,Hardware,2024,1,True
Saudi Arabia,Healthcare and Life Sciences,2020,0,True
Saudi Arabia,Healthcare and Life Sciences,2024,2,True
Brazil,Healthcare and Life Sciences,2020,40,True
Netherlands,Healthcare and Life Sciences,2024,108,True
United States,Healthcare and Life Sciences,2022,7830,True
Russia,Healthcare and Life Sciences,2020,5,True
China (mainland),Healthcare and Life Sciences,2021,728,True
Lithuania,Healthcare and Life Sciences,2024,2,True
Taiwan,Healthcare and Life Sciences,2021,56,True
Turkey,Healthcare and Life Sciences,2024,2,True
Belgium,Information Technology,2026,7,False
Malaysia,Information Technology,2022,4,True
Mexico,Information Technology,2023,132,True
Slovakia,Information Technology,2023,1,True
France,Information Technology,2023,592,True
Estonia,Information Technology,2025,30,True
South Korea,Information Technology,2019,211,True
South Korea,Information Technology,2024,525,True
Vietnam,Information Technology,2016,2,True
Thailand,Information Technology,2021,1,True
Italy,Information Technology,2018,11,True
Saudi Arabia,Lending and Investments,2018,15,True
United Arab Emirates,Lending and Investments,2022,25,True
Ireland,Lending and Investments,2024,1,True
Switzerland,Lending and Investments,2024,141,True
United Kingdom,Lending and Investments,2020,82,True
India,Manufacturing,2020,9,True
Portugal,Manufacturing,2024,2,True
Poland,Manufacturing,2021,36,True
Israel,Manufacturing,2018,26,True
Switzerland,Manufacturing,2019,285,True
Russia,Manufacturing,2018,25,True
France,Media and Entertainment,2019,27,True
Spain,Media and Entertainment,2021,21,True
Finland,Media and Entertainment,2025,2,True
Bulgaria,Media and Entertainment,2023,0,True
Panama,Media and Entertainment,2024,0,True
Belgium,Media and Entertainment,2017,0,True
Canada,Media and Entertainment,2026,2,False
South Korea,Media and Entertainment,2025,27,True
Nigeria,Media and Entertainment,2024,0,True
Armenia,Media and Entertainment,2024,2,True
Sweden,Media and Entertainment,2023,8,True
Cyprus,Media and Entertainment,2021,1,True
Mexico,"Military, public safety and government",2022,4,True
Belgium,"Military, public safety and government",2022,0,True
Canada,"Military, public safety and government",2023,10,True
Turkey,"Military, public safety and government",2025,1,True
Brazil,"Military, public safety and government",2020,0,True
Japan,"Military, public safety and government",2025,0,True
Italy,"Military, public safety and government",2025,4,True
Germany,"Military, public safety and government",2022,97,True
Slovakia,"Mobile, platforms & Internet services",2019,1,True
Canada,"Mobile, platforms & Internet services",2020,254,True
France,"Mobile, platforms & Internet services",2017,149,True
Hungary,"Mobile, platforms & Internet services",2017,1,True
Pakistan,"Mobile, platforms & Internet services",2022,5,True
Estonia,"Mobile, platforms & Internet services",2020,0,True
Sweden,NLP,2024,0,True
Saudi Arabia,NLP,2026,1200,False
Canada,NLP,2017,16,True
Iceland,NLP,2020,0,True
Australia,NLP,2018,7,True
Estonia,Navigation and mapping,2022,0,True
Canada,Navigation and mapping,2021,28,True
Bolivia,Other,2026,0,False
New Zealand,Other,2024,10,True
Hungary,Other,2019,2,True
Canada,Other,2026,1,False
Sweden,Other,2022,9,True
Czechia,Other,2022,1,True
United States,Other,2026,1316,False
Turkey,Other,2020,2,True
Brazil,Privacy and Security,2017,1,True
China (mainland),Privacy and Security,2019,46,True
Iceland,Privacy and Security,2024,0,True
Bulgaria,Privacy and Security,2023,0,True
Nigeria,Privacy and Security,2023,0,True
Poland,Privacy and Security,2021,1,True
Indonesia,Professional services,2017,10,True
Colombia,Professional services,2016,0,True
Mexico,Professional services,2021,0,True
Canada,Professional services,2022,4788,True
Vietnam,Professional services,2018,0,True
Vietnam,Professional services,2025,0,True
South Africa,Professional services,2019,2,True
South Africa,Professional services,2026,1,False
New Zealand,Professional services,2025,3,True
Estonia,Professional services,2016,2,True
Estonia,Professional services,2017,1,True
Switzerland,Professional services,2016,0,True
France,Real estate,2025,64,True
Canada,Real estate,2016,3,True
Denmark,Real estate,2022,1,True
Ireland,Real estate,2017,4,True
Vietnam,Real estate,2022,0,True
Netherlands,Real estate,2019,13,True
Netherlands,Real estate,2025,2,True
Austria,Real estate,2019,0,True
Hungary,Real estate,2025,0,True
China (mainland),Robotics,2026,390,False
Poland,Robotics,2020,3,True
Chile,Robotics,2020,0,True
Spain,Robotics,2017,3,True
Australia,"Sales, retail, commerce, marketing",2024,56,True
Germany,"Sales, retail, commerce, marketing",2023,440,True
Bulgaria,"Sales, retail, commerce, marketing",2022,0,True
Switzerland,"Sales, retail, commerce, marketing",2024,145,True
Egypt,"Sales, retail, commerce, marketing",2025,2,True
Latvia,"Sales, retail, commerce, marketing",2019,0,True
Czechia,"Sales, retail, commerce, marketing",2023,1,True
Norway,"Sales, retail, commerce, marketing",2022,2,True
Saudi Arabia,"Sales, retail, commerce, marketing",2020,13,True
Sweden,"Sales, retail, commerce, marketing",2019,6,True
Netherlands,"Sales, retail, commerce, marketing",2021,210,True
China (mainland),Semiconductor,2023,333,True
Israel,Simulation,2019,0,True
Germany,Simulation,2021,53,True
Egypt,Software,2020,2,True
Estonia,Software,2020,12,True
Croatia,Software,2023,196,True
New Zealand,Software,2022,166,True
Jordan,Software,2018,0,True
Uganda,Software,2019,0,True
Indonesia,Software,2022,47,True
Argentina,Software,2020,1,True
Uruguay,Software,2020,2,True
Germany,Software,2023,2876,True
Denmark,Speech Recognition,2016,0,True
Canada,Speech Recognition,2017,24,True
France,Speech Recognition,2025,1,True
Germany,Speech Recognition,2021,1,True
United States,Speech Recognition,2023,41,True
Singapore,Sports,2024,4,True
United States,Sports,2022,495,True
India,Sports,2026,25,False
Ireland,Sports,2019,3,True
Spain,Transportation,2023,2,True
Belgium,Transportation,2022,4,True
Portugal,Transportation,2020,0,True
Ukraine,Transportation,2025,0,True
Malaysia,Transportation,2018,0,True
Bangladesh,Transportation,2022,4,True
United Arab Emirates,Transportation,2021,5,True
Mexico,Transportation,2025,1,True
South Korea,Transportation,2020,33,True
Sweden,Agriculture,2024,10,True
Taiwan,Agriculture,2023,2,True
Ireland,Agriculture,2021,2,True
Netherlands,Agriculture,2018,1,True
Saudi Arabia,All,2016,1058,True
South Korea,All,2017,143,True
Luxembourg,All,2025,6,True
Ukraine,All,2019,11,True
Poland,All,2017,59,True
Poland,All,2018,28,True
Hungary,All,2019,10,True
United Kingdom,All,2019,2418,True
Belgium,All,2021,986,True
Iran,All,2018,0,True
Italy,All,2023,274,True
Finland,All,2016,513,True
Norway,All,2026,12,False
Iceland,All,2021,6,True
Armenia,All,2021,7,True
Switzerland,All,2017,726,True
Philippines,All,2025,141,True
Malaysia,All,2016,5,True
Malaysia,All,2018,28,True
Pakistan,All,2018,0,True
Indonesia,All,2019,23,True
Indonesia,All,2020,292,True
France,Biotechnology,2020,15,True
Germany,Biotechnology,2018,2,True
Chile,Biotechnology,2024,0,True
Japan,Biotechnology,2019,8,True
Canada,Biotechnology,2018,18,True
Canada,Biotechnology,2024,45,True
Indonesia,Biotechnology,2018,1,True
South Korea,Community and Lifestyle,2025,9,True
Canada,Community and Lifestyle,2019,6,True
Egypt,Community and Lifestyle,2016,0,True
Bulgaria,Community and Lifestyle,2017,0,True
France,Community and Lifestyle,2025,42,True
China (mainland),Computer Vision,2022,172,True
Australia,Computer Vision,2019,1,True
Indonesia,Computer Vision,2017,1,True
Lithuania,Computer Vision,2023,2,True
South Africa,Computer Vision,2026,3,False
Spain,Consumer goods,2025,2,True
Malaysia,Consumer goods,2021,16,True
South Africa,Consumer goods,2019,2,True
India,Consumer goods,2019,21,True
Turkey,Cyber Security,2024,15,True
Switzerland,Cyber Security,2017,6,True
Switzerland,Cyber Security,2021,135,True
Sri Lanka,Cyber Security,2024,0,True
Singapore,Cyber Security,2026,10,False
Israel,Cyber Security,2023,239,True
India,Cyber Security,2017,2,True
Italy,Cyber Security,2019,0,True
Cyprus,Data and analytics,2024,34,True
South Africa,Data and analytics,2025,76,True
Philippines,Data and analytics,2016,0,True
Lebanon,Data and analytics,2016,1,True
United Arab Emirates,Data and analytics,2016,0,True
Ukraine,Data and analytics,2025,110,True
Saudi Arabia,Data and analytics,2021,1989,True
New Zealand,Data and analytics,2019,220,True
Singapore,Data and analytics,2024,1996,True
Ghana,Data and analytics,2023,12,True
Uzbekistan,Data and analytics,2024,0,True
Finland,Data and analytics,2021,1647,True
Taiwan,Education,2025,0,True
Denmark,Education,2023,10,True
Spain,Education,2024,5,True
Sweden,Education,2016,1,True
Norway,Education,2025,4,True
Egypt,Education,2024,0,True
Japan,Energy and natural resources,2022,2,True
Sweden,Energy and natural resources,2019,2,True
France,Energy and natural resources,2021,114,True
Australia,Energy and natural resources,2020,2,True
Finland,Energy and natural resources,2025,2,True
Italy,Energy and natural resources,2025,2,True
India,Energy and natural resources,2025,41,True
Slovenia,Finance,2016,0,True
Argentina,Finance,2021,2,True
Vietnam,Finance,2022,7,True
Israel,Finance,2025,216,True
Malta,Finance,2020,1,True
Indonesia,Finance,2024,14,True
Mexico,Finance,2017,2,True
Qatar,Finance,2022,2,True
South Africa,Finance,2017,23,True
United Arab Emirates,Finance,2026,0,False
United States,Gaming,2021,310,True
United States,Gaming,2024,636,True
Norway,Gaming,2024,0,True
Singapore,Gaming,2025,14,True
Canada,Gaming,2017,0,True
Netherlands,Gaming,2018,371,True
Jordan,General purpose,2018,0,True
Croatia,General purpose,2023,196,True
Bangladesh,General purpose,2022,6,True
Argentina,General purpose,2020,3,True
South Korea,General purpose,2019,316,True
Israel,General purpose,2018,602,True
Malaysia,General purpose,2019,18,True
Czechia,General purpose,2016,2,True
Czechia,General purpose,2017,45,True
Czechia,General purpose,2020,28,True
Armenia,General purpose,2025,0,True
Vietnam,General purpose,2018,0,True
Portugal,General purpose,2016,6,True
Ukraine,General purpose,2021,39,True
France,General purpose,2017,633,True
Russia,General purpose,2024,130,True
Brazil,Hardware,2023,15,True
Malta,Hardware,2022,2,True
Switzerland,Hardware,2018,223,True
Switzerland,Hardware,2026,6,False
Russia,Hardware,2021,2,True
Malaysia,Hardware,2023,14,True
Australia,Hardware,2022,123,True
Mexico,Hardware,2025,55,True
Germany,Hardware,2018,795,True
Czechia,Hardware,2021,20,True
Romania,Hardware,2018,0,True
Slovakia,Hardware,2024,5,True
Ireland,Hardware,2017,1,True
Germany,Healthcare and Life Sciences,2024,316,True
Switzerland,Healthcare and Life Sciences,2025,504,True
Italy,Healthcare and Life Sciences,2017,0,True
Saudi Arabia,Healthcare and Life Sciences,2017,1,True
United Kingdom,Healthcare and Life Sciences,2021,295,True
United Kingdom,Healthcare and Life Sciences,2026,5,False
Denmark,Healthcare and Life Sciences,2021,6,True
Brazil,Healthcare and Life Sciences,2025,29,True
Belgium,Healthcare and Life Sciences,2018,1,True
Portugal,Healthcare and Life Sciences,2025,101,True
Sri Lanka,Healthcare and Life Sciences,2019,0,True
United Arab Emirates,Healthcare and Life Sciences,2023,6,True
Ukraine,Healthcare and Life Sciences,2025,0,True
New Zealand,Healthcare and Life Sciences,2019,207,True
Hungary,Healthcare and Life Sciences,2018,0,True
Spain,Information Technology,2019,18,True
United Arab Emirates,Information Technology,2016,0,True
United Arab Emirates,Information Technology,2022,61,True
United Arab Emirates,Information Technology,2024,1876,True
Japan,Information Technology,2022,102,True
Canada,Information Technology,2017,170,True
Finland,Information Technology,2025,411,True
Argentina,Information Technology,2017,4,True
France,Information Technology,2016,240,True
New Zealand,Information Technology,2025,7,True
Estonia,Information Technology,2017,1,True
Estonia,Information Technology,2026,21,False
Kenya,Information Technology,2023,7,True
Norway,Information Technology,2021,180,True
Italy,Information Technology,2025,92,True
Malaysia,Lending and Investments,2021,49,True
Italy,Lending and Investments,2025,1,True
Singapore,Lending and Investments,2024,15,True
South Korea,Lending and Investments,2022,2,True
Canada,Lending and Investments,2022,1010,True
Uruguay,Lending and Investments,2021,100,True
Mexico,Lending and Investments,2021,3,True
Germany,Lending and Investments,2023,6,True
Singapore,Manufacturing,2020,27,True
Slovenia,Manufacturing,2016,0,True
Belgium,Manufacturing,2022,12,True
Israel,Manufacturing,2019,29,True
Canada,Manufacturing,2018,147,True
Taiwan,Manufacturing,2024,0,True
France,Manufacturing,2019,106,True
Ireland,Manufacturing,2025,23,True
Taiwan,Media and Entertainment,2020,10,True
Saint Kitts and Nevis,Media and Entertainment,2021,0,True
Panama,Media and Entertainment,2023,0,True
Australia,Media and Entertainment,2025,34,True
Ireland,Media and Entertainment,2022,3,True
Brazil,Media and Entertainment,2016,0,True
Brazil,Media and Entertainment,2018,0,True
Cyprus,Media and Entertainment,2019,0,True
Slovakia,"Military, public safety and government",2026,1,False
India,"Military, public safety and government",2020,1,True
United States,"Military, public safety and government",2017,137,True
United States,"Military, public safety and government",2022,2389,True
Australia,"Military, public safety and government",2022,3,True
Australia,"Military, public safety and government",2025,17,True
Germany,"Military, public safety and government",2018,192,True
United Kingdom,"Military, public safety and government",2017,2,True
Mexico,"Mobile, platforms & Internet services",2024,23,True
Malaysia,"Mobile, platforms & Internet services",2025,6,True
Mongolia,"Mobile, platforms & Internet services",2019,0,True
United Arab Emirates,"Mobile, platforms & Internet services",2020,34,True
Cyprus,"Mobile, platforms & Internet services",2021,4,True
Ireland,"Mobile, platforms & Internet services",2022,14,True
Ireland,"Mobile, platforms & Internet services",2023,34,True
Spain,"Mobile, platforms & Internet services",2017,34,True
Azerbaijan,"Mobile, platforms & Internet services",2025,0,True
Saudi Arabia,"Mobile, platforms & Internet services",2022,86,True
Germany,"Mobile, platforms & Internet services",2019,186,True
Tunisia,"Mobile, platforms & Internet services",2023,2,True
Zambia,"Mobile, platforms & Internet services",2021,0,True
Estonia,"Mobile, platforms & Internet services",2025,21,True
Finland,"Mobile, platforms & Internet services",2025,2,True
Tunisia,NLP,2023,0,True
France,NLP,2019,355,True
Colombia,NLP,2023,0,True
Taiwan,NLP,2016,1,True
Germany,NLP,2020,205,True
Ireland,NLP,2025,16,True
Hungary,NLP,2016,1,True
Singapore,NLP,2017,3,True
Mexico,NLP,2017,1,True
United Arab Emirates,NLP,2025,1,True
Switzerland,Navigation and mapping,2017,0,True
United Kingdom,Navigation and mapping,2018,16,True
Indonesia,Other,2018,6,True
Indonesia,Other,2020,7,True
Netherlands,Other,2024,473,True
Poland,Other,2023,4,True
Argentina,Other,2020,0,True
Russia,Other,2019,1,True
China (mainland),Other,2025,624,True
Bulgaria,Other,2019,2,True
South Africa,Other,2020,0,True
Germany,Other,2025,2955,True
Ghana,Other,2023,6,True
Singapore,Other,2017,8,True
Singapore,Other,2022,121,True
Latvia,Other,2025,0,True
Israel,Other,2020,242,True
Switzerland,Privacy and Security,2023,1,True
Luxembourg,Privacy and Security,2020,6,True
Germany,Privacy and Security,2022,146,True
Israel,Privacy and Security,2019,65,True
Sweden,Professional services,2017,7,True
Argentina,Professional services,2019,0,True
Argentina,Professional services,2022,9,True
Ireland,Professional services,2017,1,True
Czechia,Professional services,2025,130,True
Italy,Real estate,2026,3,False
Denmark,Real estate,2025,8,True
Portugal,Real estate,2021,6,True
United Arab Emirates,Real estate,2024,7,True
Philippines,Real estate,2024,0,True
Japan,Robotics,2019,98,True
South Korea,Robotics,2023,86,True
Netherlands,Robotics,2022,0,True
Netherlands,Robotics,2024,2,True
Romania,Robotics,2019,1,True
Mexico,Robotics,2019,2,True
France,Robotics,2023,2,True
Germany,"Sales, retail, commerce, marketing",2018,787,True
Mexico,"Sales, retail, commerce, marketing",2024,1,True
China (mainland),"Sales, retail, commerce, marketing",2020,225,True
Spain,"Sales, retail, commerce, marketing",2021,49,True
Finland,"Sales, retail, commerce, marketing",2022,571,True
Austria,"Sales, retail, commerce, marketing",2021,17,True
Estonia,"Sales, retail, commerce, marketing",2023,2,True
Ireland,"Sales, retail, commerce, marketing",2026,1,False
Thailand,"Sales, retail, commerce, marketing",2018,8,True
Uruguay,"Sales, retail, commerce, marketing",2021,0,True
Lithuania,"Sales, retail, commerce, marketing",2023,0,True
Lithuania,"Sales, retail, commerce, marketing",2024,2,True
Germany,Semiconductor,2023,2,True
South Korea,Semiconductor,2019,2,True
Taiwan,Semiconductor,2023,14,True
United States,Simulation,2025,124,True
Poland,Simulation,2020,0,True
South Korea,Software,2020,1058,True
South Korea,Software,2023,1564,True
Ukraine,Software,2021,39,True
France,Software,2017,734,True
Japan,Software,2021,646,True
Denmark,Software,2017,49,True
Chile,Software,2017,3,True
Iceland,Software,2022,9,True
Mexico,Software,2025,435,True
Qatar,Software,2018,0,True
Sweden,Software,2021,10252,True
Latvia,Software,2018,8,True
Poland,Software,2017,55,True
Turkey,Software,2026,0,False
Uruguay,Software,2017,0,True
Switzerland,Software,2018,712,True
Saudi Arabia,Speech Recognition,2023,1,True
Germany,Speech Recognition,2019,0,True
Serbia,Speech Recognition,2018,0,True
India,Speech Recognition,2023,20,True
France,Sports,2023,0,True
China (mainland),Sports,2025,7,True
Israel,Sports,2019,22,True
South Korea,Sports,2023,71,True
Portugal,Sports,2024,0,True
India,Sports,2018,0,True
United States,Telecommunications,2018,417,True
New Zealand,Telecommunications,2020,1,True
Mexico,Telecommunications,2018,1,True
South Korea,Telecommunications,2023,2,True
Spain,Transportation,2020,12,True
Bulgaria,Transportation,2023,3,True
Sweden,Transportation,2021,3452,True
Portugal,Transportation,2017,1,True
Hungary,Transportation,2024,1,True
Vietnam,Transportation,2019,1,True
Japan,Transportation,2022,65,True
China (mainland),Transportation,2024,5842,True
Poland,Transportation,2018,2,True
Australia,Agriculture,2017,2,True
Greece,Agriculture,2023,220,True
Norway,Agriculture,2021,2,True
Hungary,Agriculture,2024,2,True
Kenya,Agriculture,2025,0,True
Nigeria,Agriculture,2021,0,True
Germany,Agriculture,2020,21,True
Saudi Arabia,All,2018,806,True
Argentina,All,2022,18,True
Luxembourg,All,2020,15,True
Poland,All,2019,108,True
China (mainland),All,2025,20378,True
Belgium,All,2016,68,True
Belgium,All,2025,724,True
Greece,All,2017,58,True
Lithuania,All,2017,1,True
Qatar,All,2025,3,True
Seychelles,All,2024,2,True
Bahrain,All,2020,0,True
Israel,All,2020,2580,True
Switzerland,All,2023,1011,True
Dominican Republic,All,2023,2,True
Russia,All,2019,29,True
