country,field,year,disclosed_investment,complete
India,Computer Vision,2021,5,True
Portugal,Computer Vision,2024,2,True
Poland,Computer Vision,2022,0,True
Malaysia,Consumer goods,2018,0,True
France,Consumer goods,2017,5,True
Israel,Consumer goods,2021,39,True
Norway,Consumer goods,2021,7,True
Nigeria,Cyber Security,2026,3,False
Lithuania,Cyber Security,2025,1,True
France,Cyber Security,2022,4,True
Saudi Arabia,Cyber Security,2025,3,True
Costa Rica,Data and analytics,2025,1,True
Tajikistan,Data and analytics,2022,0,True
Sweden,Data and analytics,2019,38,True
Italy,Data and analytics,2026,10,False
Malaysia,Data and analytics,2016,0,True
New Zealand,Data and analytics,2023,15,True
Armenia,Data and analytics,2024,2,True
Portugal,Data and analytics,2018,8,True
Mauritius,Data and analytics,2025,0,True
Singapore,Data and analytics,2021,919,True
United States,Data and analytics,2018,20829,True
Israel,Data and analytics,2020,804,True
Iceland,Data and analytics,2018,4,True
Norway,Education,2018,0,True
Azerbaijan,Education,2022,0,True
United Kingdom,Education,2016,4,True
Australia,Education,2023,1,True
Romania,Education,2021,4,True
Malaysia,Education,2022,0,True
Netherlands,Energy and natural resources,2026,41,False
Turkey,Energy and natural resources,2024,1,True
Italy,Energy and natural resources,2025,2,True
United Arab Emirates,Energy and natural resources,2019,0,True
Brazil,Energy and natural resources,2020,0,True
India,Energy and natural resources,2018,2,True
United States,Facial Recognition,2016,20,True
United States,Facial Recognition,2017,6,True
United States,Facial Recognition,2024,1,True
Cyprus,Facial Recognition,2019,1,True
France,Facial Recognition,2024,0,True
United States,Finance,2020,5391,True
Chile,Finance,2018,0,True
Finland,Finance,2017,1,True
Egypt,Finance,2024,0,True
Austria,Finance,2019,0,True
Germany,Finance,2020,29,True
Philippines,Finance,2024,16,True
Mauritius,Finance,2019,2,True
Ireland,Finance,2025,5,True
Estonia,Gaming,2019,0,True
Romania,Gaming,2024,1,True
Mexico,General purpose,2024,8,True
Lithuania,General purpose,2018,1,True
Lithuania,General purpose,2020,1,True
Ukraine,General purpose,2024,1,True
Japan,General purpose,2018,198,True
Belize,General purpose,2022,20,True
United Arab Emirates,General purpose,2025,377,True
Turkey,General purpose,2018,4,True
Ghana,General purpose,2023,0,True
Finland,General purpose,2020,145,True
Tajikistan,General purpose,2025,1,True
Pakistan,General purpose,2019,0,True
Egypt,General purpose,2022,2,True
Poland,General purpose,2023,12,True
South Africa,General purpose,2020,18,True
South Africa,General purpose,2022,112,True
Switzerland,General purpose,2024,150,True
Switzerland,General purpose,2025,539,True
United Arab Emirates,Hardware,2022,0,True
Zambia,Hardware,2023,0,True
New Zealand,Hardware,2023,1,True
Sri Lanka,Hardware,2025,0,True
Israel,Hardware,2021,456,True
Belgium,Hardware,2024,17,True
Singapore,Hardware,2019,110,True
Germany,Hardware,2023,184,True
Russia,Hardware,2019,8,True
United States,Hardware,2022,3668,True
Austria,Hardware,2023,3,True
Cyprus,Hardware,2022,1,True
Switzerland,Hardware,2018,27,True
Malta,Hardware,2018,0,True
Kazakhstan,Hardware,2020,0,True
Turkey,Healthcare and Life Sciences,2025,2,True
Denmark,Healthcare and Life Sciences,2020,8,True
Spain,Healthcare and Life Sciences,2025,22,True
Belgium,Healthcare and Life Sciences,2017,0,True
Ireland,Healthcare and Life Sciences,2021,1,True
Austria,Healthcare and Life Sciences,2024,2,True
Japan,Healthcare and Life Sciences,2021,16,True
Romania,Healthcare and Life Sciences,2021,11,True
South Korea,Information Technology,2023,230,True
Qatar,Information Technology,2024,0,True
South Africa,Information Technology,2018,0,True
Kenya,Information Technology,2022,3,True
Estonia,Information Technology,2020,4,True
Canada,Information Technology,2019,206,True
Kazakhstan,Information Technology,2023,3,True
Netherlands,Information Technology,2017,43,True
Malaysia,Information Technology,2019,7,True
Malaysia,Information Technology,2024,1,True
Taiwan,Information Technology,2025,15,True
Belgium,Lending and Investments,2025,3,True
United States,Lending and Investments,2025,1090,True
Germany,Lending and Investments,2022,5,True
Singapore,Manufacturing,2023,3,True
Finland,Manufacturing,2016,2,True
Israel,Media and Entertainment,2022,104,True
Brazil,Media and Entertainment,2017,2,True
Brazil,Media and Entertainment,2019,6,True
Portugal,Media and Entertainment,2022,2,True
Romania,Media and Entertainment,2018,0,True
Romania,Media and Entertainment,2019,0,True
Indonesia,Media and Entertainment,2017,0,True
Singapore,Media and Entertainment,2024,19,True
United States,Media and Entertainment,2019,1185,True
China (mainland),Media and Entertainment,2019,357,True
Colombia,"Military, public safety and government",2025,0,True
Germany,"Military, public safety and government",2017,0,True
Belgium,"Military, public safety and government",2024,0,True
Kenya,"Mobile, platforms & Internet services",2023,0,True
Colombia,"Mobile, platforms & Internet services",2016,1,True
Australia,"Mobile, platforms & Internet services",2016,3,True
Croatia,"Mobile, platforms & Internet services",2020,0,True
Indonesia,"Mobile, platforms & Internet services",2016,2,True
Israel,"Mobile, platforms & Internet services",2025,42,True
Poland,"Mobile, platforms & Internet services",2023,3,True
Belgium,"Mobile, platforms & Internet services",2022,14,True
South Africa,"Mobile, platforms & Internet services",2024,0,True
Egypt,"Mobile, platforms & Internet services",2024,0,True
Japan,"Mobile, platforms & Internet services",2016,645,True
Austria,"Mobile, platforms & Internet services",2017,3,True
Spain,NLP,2018,0,True
United States,Navigation and mapping,2025,125,True
Argentina,Navigation and mapping,2018,0,True
Germany,Navigation and mapping,2017,2,True
India,Navigation and mapping,2024,0,True
Belgium,Navigation and mapping,2018,0,True
Spain,Navigation and mapping,2019,1,True
United Arab Emirates,Navigation and mapping,2021,1,True
India,Other,2019,108,True
Pakistan,Other,2021,0,True
Luxembourg,Other,2023,1,True
Ireland,Other,2021,1,True
Norway,Other,2025,1,True
Singapore,Other,2021,110,True
Egypt,Other,2022,0,True
United States,Other,2025,6452,True
Austria,Other,2025,3,True
Japan,Privacy and Security,2017,0,True
Mexico,Privacy and Security,2023,0,True
United Kingdom,Privacy and Security,2017,11,True
Germany,Privacy and Security,2017,11,True
Germany,Privacy and Security,2020,40,True
Romania,Privacy and Security,2025,3,True
Denmark,Professional services,2017,1,True
Canada,Professional services,2025,820,True
Mexico,Professional services,2026,0,False
Switzerland,Professional services,2016,0,True
France,Professional services,2018,28,True
Germany,Professional services,2016,3,True
Ireland,Professional services,2021,356,True
Malaysia,Professional services,2025,0,True
Brazil,Professional services,2023,42,True
South Africa,Professional services,2017,0,True
Cyprus,Real estate,2024,1,True
Australia,Real estate,2024,3,True
India,Real estate,2016,0,True
France,Real estate,2016,8,True
Turkey,Robotics,2024,1,True
Finland,"Sales, retail, commerce, marketing",2024,2,True
Portugal,"Sales, retail, commerce, marketing",2017,0,True
Kenya,"Sales, retail, commerce, marketing",2022,0,True
Australia,"Sales, retail, commerce, marketing",2017,2,True
Australia,"Sales, retail, commerce, marketing",2019,3,True
United States,"Sales, retail, commerce, marketing",2021,7008,True
Mexico,"Sales, retail, commerce, marketing",2017,0,True
Mexico,"Sales, retail, commerce, marketing",2024,1,True
Spain,"Sales, retail, commerce, marketing",2021,22,True
Czechia,"Sales, retail, commerce, marketing",2018,1,True
Georgia,"Sales, retail, commerce, marketing",2025,1,True
Indonesia,"Sales, retail, commerce, marketing",2024,0,True
Russia,"Sales, retail, commerce, marketing",2023,0,True
Singapore,"Sales, retail, commerce, marketing",2017,89,True
United States,Semiconductor,2023,179,True
Sweden,Semiconductor,2016,1,True
Singapore,Semiconductor,2024,1385,True
Switzerland,Semiconductor,2024,4,True
Poland,Simulation,2022,0,True
Italy,Simulation,2020,1,True
Tunisia,Software,2020,0,True
Cyprus,Software,2025,18,True
Ecuador,Software,2026,3,False
Japan,Software,2024,316,True
Kazakhstan,Software,2019,0,True
Jordan,Software,2024,0,True
Mexico,Software,2024,10,True
Chile,Software,2020,10,True
Lebanon,Software,2022,0,True
Switzerland,Software,2025,543,True
South Africa,Software,2021,36,True
Italy,Software,2021,68,True
Norway,Software,2022,154,True
Qatar,Software,2025,0,True
Singapore,Software,2019,1658,True
Estonia,Speech Recognition,2018,0,True
China (mainland),Sports,2022,1,True
Japan,Sports,2018,3,True
Canada,Sports,2020,1,True
Slovakia,Telecommunications,2021,4,True
Brazil,Telecommunications,2022,70,True
France,Telecommunications,2025,147,True
Spain,Telecommunications,2018,1,True
Spain,Telecommunications,2019,0,True
United States,Telecommunications,2019,176,True
Saudi Arabia,Transportation,2019,0,True
Turkey,Transportation,2017,1,True
Finland,Transportation,2016,1,True
Czechia,Transportation,2017,0,True
United States,Transportation,2022,4473,True
Australia,Agriculture,2020,3,True
Turkey,Agriculture,2023,1,True
Finland,Agriculture,2020,2,True
United Kingdom,Agriculture,2017,2,True
India,Agriculture,2017,2,True
India,Agriculture,2021,14,True
Singapore,Agriculture,2018,5,True
France,Agriculture,2017,2,True
Hungary,Agriculture,2022,0,True
Hungary,Agriculture,2024,1,True
Morocco,All,2024,1,True
China (mainland),All,2023,5294,True
Singapore,All,2022,1386,True
Turkey,All,2020,8,True
Portugal,All,2024,53,True
India,All,2016,95,True
Uganda,All,2020,0,True
Philippines,All,2022,62,True
Bulgaria,All,2017,1,True
United Kingdom,All,2018,1540,True
South Africa,All,2018,59,True
Cyprus,All,2016,1,True
France,All,2018,515,True
Thailand,All,2017,3,True
Germany,Biotechnology,2018,2,True
Sweden,Biotechnology,2023,2,True
Singapore,Biotechnology,2023,21,True
Argentina,Biotechnology,2017,4,True
China (mainland),Community and Lifestyle,2017,69,True
Egypt,Community and Lifestyle,2019,0,True
United Arab Emirates,Community and Lifestyle,2019,0,True
Estonia,Community and Lifestyle,2020,0,True
Sweden,Community and Lifestyle,2017,9,True
Israel,Computer Vision,2023,42,True
Peru,Computer Vision,2022,0,True
Denmark,Computer Vision,2021,1,True
Spain,Computer Vision,2021,1,True
China (mainland),Computer Vision,2019,261,True
France,Computer Vision,2017,16,True
United Kingdom,Computer Vision,2021,57,True
United Kingdom,Computer Vision,2025,11,True
Singapore,Computer Vision,2019,100,True
Cyprus,Computer Vision,2022,1,True
New Zealand,Computer Vision,2017,0,True
Sweden,Computer Vision,2023,2,True
Switzerland,Computer Vision,2025,250,True
Germany,Consumer goods,2018,3,True
Poland,Consumer goods,2021,1,True
Australia,Consumer goods,2025,11,True
Denmark,Consumer goods,2020,1,True
Hungary,Consumer goods,2019,0,True
Brazil,Consumer goods,2025,1,True
Czechia,Cyber Security,2023,5,True
Estonia,Cyber Security,2020,3,True
United States,Cyber Security,2019,1407,True
Poland,Cyber Security,2019,1,True
Zimbabwe,Data and analytics,2024,1,True
Chile,Data and analytics,2017,1,True
Norway,Data and analytics,2018,12,True
Colombia,Data and analytics,2017,1,True
India,Data and analytics,2019,280,True
Greece,Data and analytics,2022,11,True
Uruguay,Data and analytics,2020,2,True
Mauritius,Data and analytics,2021,20,True
Jordan,Data and analytics,2020,0,True
South Korea,Data and analytics,2017,34,True
Luxembourg,Data and analytics,2024,20,True
Taiwan,Data and analytics,2016,3,True
Iceland,Data and analytics,2022,6,True
Vietnam,Data and analytics,2022,3,True
South Korea,Education,2025,3,True
Germany,Education,2020,10,True
New Zealand,Education,2019,0,True
Israel,Education,2024,2,True
Spain,Education,2021,1,True
Peru,Education,2018,0,True
Bulgaria,Education,2018,0,True
Poland,Energy and natural resources,2022,3,True
United Kingdom,Energy and natural resources,2017,11,True
China (mainland),Energy and natural resources,2018,6,True
Kenya,Energy and natural resources,2017,0,True
Uruguay,Energy and natural resources,2021,2,True
Japan,Energy and natural resources,2025,10,True
Israel,Finance,2022,106,True
Norway,Finance,2017,2,True
Norway,Finance,2020,5,True
Lithuania,Finance,2024,100,True
India,Finance,2025,77,True
Switzerland,Finance,2024,5,True
Chile,Finance,2020,0,True
South Korea,Finance,2019,8,True
Denmark,Finance,2021,0,True
New Zealand,Finance,2020,2,True
Mexico,Finance,2019,102,True
Sri Lanka,Finance,2024,0,True
Ghana,Finance,2019,0,True
South Africa,Finance,2022,0,True
Philippines,Finance,2021,1,True
Romania,Finance,2022,0,True
Côte d'Ivoire,Finance,2024,0,True
Sweden,Gaming,2017,1,True
Estonia,Gaming,2023,0,True
Spain,Gaming,2022,0,True
Russia,General purpose,2020,13,True
Denmark,General purpose,2017,33,True
Cyprus,General purpose,2019,2,True
Netherlands,General purpose,2026,14,False
Turkey,General purpose,2024,78,True
Singapore,General purpose,2020,603,True
Australia,General purpose,2024,1083,True
Tajikistan,General purpose,2023,0,True
Romania,General purpose,2022,5,True
Panama,General purpose,2024,0,True
Peru,General purpose,2019,1,True
Côte d'Ivoire,General purpose,2022,0,True
Hungary,Hardware,2019,2,True
Ukraine,Hardware,2024,1,True
Singapore,Hardware,2022,80,True
Ireland,Hardware,2021,4,True
Czechia,Hardware,2021,2,True
Romania,Hardware,2022,1,True
South Africa,Hardware,2023,0,True
France,Hardware,2018,82,True
Saudi Arabia,Hardware,2019,3,True
Singapore,Healthcare and Life Sciences,2019,5,True
Slovakia,Healthcare and Life Sciences,2020,0,True
France,Healthcare and Life Sciences,2020,20,True
Germany,Healthcare and Life Sciences,2021,63,True
Cyprus,Healthcare and Life Sciences,2024,0,True
Italy,Healthcare and Life Sciences,2025,10,True
New Zealand,Healthcare and Life Sciences,2019,1,True
Estonia,Healthcare and Life Sciences,2025,0,True
Canada,Healthcare and Life Sciences,2024,32,True
Peru,Healthcare and Life Sciences,2024,0,True
Ukraine,Healthcare and Life Sciences,2021,0,True
Malaysia,Healthcare and Life Sciences,2025,2,True
South Africa,Information Technology,2025,0,True
Brazil,Information Technology,2018,8,True
Brazil,Information Technology,2022,487,True
Pakistan,Information Technology,2024,0,True
Indonesia,Information Technology,2025,1,True
Lithuania,Information Technology,2024,101,True
Estonia,Information Technology,2018,1,True
Singapore,Information Technology,2019,68,True
Uruguay,Information Technology,2017,0,True
Mexico,Information Technology,2021,3,True
France,Information Technology,2026,256,False
Italy,Information Technology,2017,2,True
Netherlands,Information Technology,2016,35,True
China (mainland),Information Technology,2023,873,True
Serbia,Information Technology,2021,0,True
Sweden,Information Technology,2017,1,True
Australia,Information Technology,2023,78,True
United Kingdom,Information Technology,2016,68,True
United Kingdom,Lending and Investments,2022,134,True
Kenya,Lending and Investments,2022,0,True
South Africa,Lending and Investments,2018,13,True
Japan,Lending and Investments,2020,48,True
New Zealand,Manufacturing,2020,0,True
Japan,Manufacturing,2017,5,True
Italy,Manufacturing,2022,6,True
South Korea,Manufacturing,2022,13,True
France,Manufacturing,2021,9,True
Spain,Media and Entertainment,2016,2,True
Belgium,Media and Entertainment,2017,0,True
Denmark,Media and Entertainment,2019,1,True
Taiwan,Media and Entertainment,2022,1,True
Canada,Media and Entertainment,2025,59,True
Israel,"Military, public safety and government",2022,3,True
Netherlands,"Military, public safety and government",2016,0,True
Poland,"Military, public safety and government",2022,3,True
India,"Military, public safety and government",2019,0,True
Chile,"Mobile, platforms & Internet services",2020,1,True
Germany,"Mobile, platforms & Internet services",2025,60,True
Australia,"Mobile, platforms & Internet services",2026,5070,False
Slovenia,"Mobile, platforms & Internet services",2022,3,True
Malta,"Mobile, platforms & Internet services",2020,1,True
Switzerland,"Mobile, platforms & Internet services",2022,196,True
United States,"Mobile, platforms & Internet services",2021,10613,True
Brazil,"Mobile, platforms & Internet services",2025,9,True
Poland,"Mobile, platforms & Internet services",2018,1,True
South Africa,"Mobile, platforms & Internet services",2021,33,True
Mexico,"Mobile, platforms & Internet services",2022,7,True
Japan,"Mobile, platforms & Internet services",2020,128,True
Denmark,"Mobile, platforms & Internet services",2019,0,True
Austria,"Mobile, platforms & Internet services",2022,1,True
Austria,"Mobile, platforms & Internet services",2023,2,True
Austria,"Mobile, platforms & Internet services",2025,1,True
Colombia,NLP,2023,0,True
Turkey,NLP,2022,0,True
Canada,NLP,2019,20,True
Cyprus,NLP,2022,1,True
Belgium,NLP,2022,2,True
Italy,Navigation and mapping,2021,1,True
China (mainland),Navigation and mapping,2016,2,True
Saudi Arabia,Navigation and mapping,2018,0,True
Sweden,Other,2022,9,True
Croatia,Other,2021,1,True
South Korea,Other,2025,3,True
Italy,Other,2023,44,True
Lithuania,Other,2024,2,True
Norway,Other,2018,5,True
Colombia,Other,2017,0,True
Netherlands,Other,2021,2,True
Singapore,Other,2020,540,True
Singapore,Other,2026,5199,False
Israel,Other,2020,35,True
Bulgaria,Other,2023,4,True
Iceland,Other,2016,1,True
Iceland,Other,2017,0,True
Kenya,Other,2018,0,True
Italy,Privacy and Security,2019,1,True
Vietnam,Privacy and Security,2023,1,True
Estonia,Privacy and Security,2024,9,True
Romania,Privacy and Security,2017,0,True
Netherlands,Professional services,2021,36,True
United Arab Emirates,Professional services,2023,11,True
India,Professional services,2018,3,True
Spain,Professional services,2024,4,True
Ukraine,Professional services,2022,0,True
Lithuania,Professional services,2023,0,True
Italy,Professional services,2024,0,True
Portugal,Real estate,2016,2,True
Turkey,Real estate,2022,1,True
Austria,Real estate,2023,2,True
Mexico,Real estate,2024,1,True
South Africa,Real estate,2020,0,True
United Arab Emirates,Real estate,2025,3,True
Finland,Real estate,2017,0,True
United Kingdom,Real estate,2017,7,True
India,Real estate,2018,0,True
Croatia,Robotics,2020,0,True
United States,Robotics,2016,159,True
Slovakia,"Sales, retail, commerce, marketing",2024,5,True
Colombia,"Sales, retail, commerce, marketing",2021,0,True
Brazil,"Sales, retail, commerce, marketing",2022,303,True
Denmark,"Sales, retail, commerce, marketing",2018,5,True
Denmark,"Sales, retail, commerce, marketing",2020,17,True
Italy,"Sales, retail, commerce, marketing",2024,1,True
Ireland,"Sales, retail, commerce, marketing",2017,3,True
United Kingdom,"Sales, retail, commerce, marketing",2025,234,True
Netherlands,"Sales, retail, commerce, marketing",2018,7,True
Japan,"Sales, retail, commerce, marketing",2024,24,True
Sri Lanka,"Sales, retail, commerce, marketing",2021,0,True
Sri Lanka,"Sales, retail, commerce, marketing",2024,1,True
Malaysia,"Sales, retail, commerce, marketing",2022,1,True
Taiwan,Semiconductor,2020,20,True
United States,Semiconductor,2018,94,True
China (mainland),Simulation,2023,1,True
Canada,Simulation,2021,1,True
Brazil,Software,2024,325,True
Taiwan,Software,2023,35,True
Belgium,Software,2021,258,True
Philippines,Software,2022,24,True
Greece,Software,2020,12,True
Luxembourg,Software,2016,3,True
Latvia,Software,2023,0,True
New Zealand,Software,2021,1067,True
Colombia,Software,2020,4,True
Iceland,Software,2017,2,True
Austria,Software,2016,3,True
United Arab Emirates,Software,2019,12,True
France,Software,2021,487,True
South Africa,Software,2017,29,True
Italy,Software,2026,10,False
Singapore,Software,2017,128,True
Spain,Software,2023,94,True
Australia,Software,2019,82,True
India,Speech Recognition,2022,41,True
China (mainland),Speech Recognition,2025,9,True
Sri Lanka,Sports,2022,0,True
Argentina,Sports,2020,0,True
France,Telecommunications,2016,4,True
Israel,Telecommunications,2021,3,True
United Kingdom,Telecommunications,2023,32,True
Canada,Telecommunications,2021,55,True
United States,Telecommunications,2021,892,True
Poland,Telecommunications,2016,3,True
Singapore,Transportation,2018,2,True
Germany,Transportation,2025,129,True
Sweden,Transportation,2021,29,True
China (mainland),Transportation,2018,918,True
Canada,Transportation,2025,32,True
Mexico,Transportation,2022,14,True
Italy,Transportation,2022,1,True
Italy,Transportation,2025,7,True
United States,Transportation,2016,1979,True
Greece,Agriculture,2018,1,True
Netherlands,Agriculture,2019,4,True
Netherlands,Agriculture,2024,1,True
Spain,Agriculture,2023,2,True
Nigeria,Agriculture,2024,0,True
United States,All,2019,31497,True
Finland,All,2021,232,True
Algeria,All,2021,0,True
Iceland,All,2020,26,True
Uzbekistan,All,2024,0,True
Ukraine,All,2023,3,True
Saudi Arabia,All,2023,2182,True
Estonia,All,2016,3,True
Vietnam,All,2022,28,True
Vietnam,All,2024,6,True
Mexico,All,2020,34,True
China (mainland),Biotechnology,2024,76,True
Australia,Biotechnology,2017,0,True
France,Biotechnology,2016,2,True
France,Biotechnology,2018,0,True
France,Biotechnology,2023,10,True
United Kingdom,Community and Lifestyle,2017,10,True
Ireland,Community and Lifestyle,2019,0,True
Australia,Community and Lifestyle,2018,0,True
Bangladesh,Community and Lifestyle,2023,0,True
Switzerland,Community and Lifestyle,2016,0,True
Switzerland,Community and Lifestyle,2018,18,True
Singapore,Community and Lifestyle,2021,3,True
Ireland,Computer Vision,2026,1,False
South Korea,Computer Vision,2024,36,True
Turkey,Computer Vision,2020,1,True
Bulgaria,Computer Vision,2019,0,True
United States,Computer Vision,2022,366,True
Brazil,Computer Vision,2019,0,True
Mexico,Computer Vision,2024,1,True
Luxembourg,Consumer goods,2016,3,True
Canada,Consumer goods,2025,37,True
Colombia,Consumer goods,2021,0,True
Israel,Cyber Security,2018,1,True
Switzerland,Cyber Security,2023,0,True
India,Cyber Security,2025,0,True
China (mainland),Cyber Security,2016,3,True
Poland,Data and analytics,2025,37,True
Denmark,Data and analytics,2019,27,True
Malta,Data and analytics,2018,0,True
Uganda,Data and analytics,2022,0,True
Egypt,Data and analytics,2022,2,True
Romania,Data and analytics,2023,8,True
Norway,Data and analytics,2016,1,True
Ghana,Data and analytics,2021,0,True
Slovakia,Data and analytics,2021,1,True
Bulgaria,Data and analytics,2023,5,True
Nigeria,Data and analytics,2017,0,True
Turkey,Data and analytics,2025,19,True
Australia,Data and analytics,2024,1062,True
Singapore,Data and analytics,2018,346,True
Singapore,Data and analytics,2020,536,True
Austria,Data and analytics,2025,40,True
Seychelles,Data and analytics,2021,1,True
Iceland,Education,2020,2,True
Czechia,Education,2022,3,True
Israel,Education,2021,6,True
United States,Education,2025,496,True
Spain,Education,2019,0,True
Spain,Education,2020,1,True
Austria,Energy and natural resources,2019,0,True
Finland,Energy and natural resources,2022,3,True
Romania,Energy and natural resources,2024,1,True
South Korea,Energy and natural resources,2025,1,True
Canada,Energy and natural resources,2021,113,True
Germany,Energy and natural resources,2025,25,True
Israel,Energy and natural resources,2018,8,True
Saudi Arabia,Facial Recognition,2026,1200,False
France,Finance,2018,13,True
Uganda,Finance,2020,0,True
South Korea,Finance,2016,2,True
Mexico,Finance,2020,2,True
Mexico,Finance,2024,4,True
Portugal,Finance,2022,2,True
Hungary,Finance,2022,0,True
South Africa,Finance,2017,23,True
South Africa,Finance,2020,18,True
Romania,Finance,2024,1,True
Canada,Finance,2017,37,True
Russia,Finance,2016,3,True
Russia,Finance,2017,4,True
Cyprus,Finance,2018,1,True
Mauritius,Finance,2025,0,True
Japan,Finance,2016,603,True
Switzerland,Gaming,2020,0,True
United Arab Emirates,Gaming,2025,2,True
Spain,Gaming,2016,0,True
Thailand,General purpose,2023,7,True
Brazil,General purpose,2019,63,True
Greece,General purpose,2023,110,True
Denmark,General purpose,2016,5,True
Mongolia,General purpose,2019,0,True
Slovenia,General purpose,2019,0,True
Spain,General purpose,2016,40,True
Spain,General purpose,2021,94,True
Belize,General purpose,2019,0,True
Ghana,General purpose,2025,0,True
Australia,General purpose,2016,14,True
Slovakia,General purpose,2024,5,True
Tajikistan,General purpose,2024,1,True
Pakistan,General purpose,2024,0,True
Taiwan,General purpose,2019,22,True
France,General purpose,2025,881,True
Jordan,General purpose,2021,0,True
Denmark,Hardware,2019,16,True
Israel,Hardware,2023,93,True
India,Hardware,2020,12114,True
Malaysia,Hardware,2022,15,True
Spain,Hardware,2022,11,True
Sweden,Hardware,2021,4545,True
Lebanon,Hardware,2016,0,True
Romania,Hardware,2020,1,True
Romania,Hardware,2023,1,True
Poland,Hardware,2021,9,True
Canada,Hardware,2025,106,True
Pakistan,Hardware,2019,0,True
Tunisia,Healthcare and Life Sciences,2021,0,True
Nigeria,Healthcare and Life Sciences,2024,0,True
France,Healthcare and Life Sciences,2016,7,True
India,Healthcare and Life Sciences,2016,2,True
India,Healthcare and Life Sciences,2024,33,True
Italy,Healthcare and Life Sciences,2023,3,True
Finland,Healthcare and Life Sciences,2019,5,True
Argentina,Healthcare and Life Sciences,2022,5,True
Canada,Healthcare and Life Sciences,2016,6,True
Malaysia,Healthcare and Life Sciences,2022,3,True
China (mainland),Healthcare and Life Sciences,2017,154,True
Argentina,Information Technology,2020,2,True
Argentina,Information Technology,2024,1,True
Japan,Information Technology,2017,32,True
Vietnam,Information Technology,2023,0,True
Luxembourg,Information Technology,2024,20,True
Uruguay,Information Technology,2025,1,True
Belgium,Information Technology,2023,219,True
Belgium,Information Technology,2024,16,True
Belgium,Information Technology,2025,13,True
New Zealand,Information Technology,2023,1,True
Mexico,Information Technology,2019,0,True
Mexico,Information Technology,2022,2,True
France,Information Technology,2020,107,True
Latvia,Information Technology,2016,0,True
Austria,Information Technology,2018,3,True
Austria,Information Technology,2023,8,True
Austria,Information Technology,2025,4,True
Egypt,Information Technology,2022,0,True
Australia,Information Technology,2020,68,True
Taiwan,Information Technology,2023,4,True
United Kingdom,Information Technology,2021,1197,True
Turkey,Information Technology,2025,5,True
China (mainland),Lending and Investments,2021,21,True
United States,Lending and Investments,2016,36,True
Germany,Lending and Investments,2017,120,True
Malaysia,Lending and Investments,2021,49,True
Spain,Manufacturing,2024,3,True
Italy,Manufacturing,2019,1,True
Sweden,Manufacturing,2021,4538,True
Germany,Manufacturing,2024,74,True
United Kingdom,Manufacturing,2026,30,False
Estonia,Media and Entertainment,2022,1,True
Estonia,Media and Entertainment,2025,0,True
Sri Lanka,Media and Entertainment,2025,0,True
Luxembourg,Media and Entertainment,2020,2,True
Czechia,Media and Entertainment,2019,1,True
Ireland,Media and Entertainment,2025,55,True
South Korea,"Military, public safety and government",2020,1,True
Saudi Arabia,"Military, public safety and government",2025,1,True
Kenya,"Mobile, platforms & Internet services",2021,1,True
New Zealand,"Mobile, platforms & Internet services",2023,0,True
Malta,"Mobile, platforms & Internet services",2018,0,True
Sweden,"Mobile, platforms & Internet services",2018,15,True
Indonesia,"Mobile, platforms & Internet services",2020,2,True
Argentina,"Mobile, platforms & Internet services",2018,0,True
Poland,"Mobile, platforms & Internet services",2016,10,True
Poland,"Mobile, platforms & Internet services",2026,16,False
South Africa,"Mobile, platforms & Internet services",2018,9,True
Portugal,"Mobile, platforms & Internet services",2021,4,True
Latvia,"Mobile, platforms & Internet services",2019,0,True
Spain,"Mobile, platforms & Internet services",2020,17,True
Spain,"Mobile, platforms & Internet services",2024,34,True
Cyprus,"Mobile, platforms & Internet services",2025,18,True
Uganda,"Mobile, platforms & Internet services",2023,0,True
Norway,NLP,2018,0,True
Taiwan,NLP,2018,18,True
Portugal,NLP,2019,5,True
Hungary,NLP,2024,0,True
Germany,NLP,2023,59,True
India,NLP,2022,2,True
Netherlands,NLP,2018,3,True
Netherlands,NLP,2020,2,True
Australia,NLP,2022,3,True
Spain,NLP,2021,8,True
Spain,NLP,2023,3,True
Switzerland,Navigation and mapping,2022,7,True
China (mainland),Navigation and mapping,2017,19,True
Australia,Navigation and mapping,2019,6,True
Mexico,Other,2026,0,False
Poland,Other,2019,1,True
Philippines,Other,2021,0,True
South Korea,Other,2023,25,True
India,Other,2022,862,True
Denmark,Other,2016,1,True
Denmark,Other,2018,1,True
Czechia,Other,2018,1,True
Czechia,Other,2020,4,True
Lithuania,Other,2025,1,True
Ireland,Other,2018,7,True
Slovakia,Other,2021,4,True
Sri Lanka,Other,2023,0,True
Canada,Other,2025,63,True
Czechia,Privacy and Security,2020,1,True
Canada,Privacy and Security,2024,43,True
Italy,Privacy and Security,2025,43,True
United States,Privacy and Security,2019,1851,True
Israel,Privacy and Security,2018,8,True
Israel,Privacy and Security,2026,29,False
Turkey,Professional services,2023,3,True
Denmark,Professional services,2016,1,True
India,Professional services,2020,8,True
Brazil,Professional services,2022,145,True
Philippines,Professional services,2021,0,True
Philippines,Professional services,2022,0,True
China (mainland),Professional services,2024,102,True
Chile,Professional services,2023,0,True
Austria,Real estate,2022,1,True
Japan,Real estate,2018,1,True
United Kingdom,Real estate,2020,190,True
India,Real estate,2025,25,True
Slovakia,Real estate,2023,0,True
